302,Introduction to Programming,Computer Sciences
310,Thermodynamics,Chemical Engineering
310,Introduction to Sewage Planning,Sanitary Engineering
365,City Planning,Civil Engineering
375,Highway Engineering,Civil Engineering
461,Topology,Mathematics
462,Real Analysis,Mathematics
467,Introduction to Data Structures,Computer Sciences
514,Manpower Utilization,Industrial Engineering
561,Advanced City Planning,Civil Engineering
561,Advanced Garbage Collection,Sanitary Engineering
701,Compiler Construction,Computer Sciences
726,Nonlinear Programming,Mathematics
